PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,3,"Johnson, Dr. Elizabeth",female,21.3,3,1,376641,11.31,,S
2,1,2,"Brown, Master. William",male,31.7,1,2,734056,23.34,,C
3,0,3,"Rodriguez, Dr. Anna",female,16.2,0,1,83289,11.69,,S
4,0,3,"Martin, Mrs. Minnie",female,12.2,3,1,807529,9.34,,S
5,1,1,"Jackson, Mr. Frank",male,24.8,4,2,326247,243.02,G13,S
6,1,1,"Jones, Dr. Sarah",female,,3,2,134072,103.82,F165,S
7,0,3,"Martin, Dr. Mary",female,12.0,4,0,864736,10.55,,S
8,1,1,"Miller, Dr. Anna",female,40.3,2,3,95878,110.38,,Q
9,0,3,"Brown, Dr. Edward",male,,3,3,138281,13.4,,S
10,1,3,"Rodriguez, Dr. Henry",male,7.0,0,2,950076,5.28,,S
11,0,1,"Jones, Master. Frank",male,,4,2,524370,41.93,,S
12,1,1,"Williams, Ms. Bertha",female,,3,2,468415,61.93,C85,S
13,1,3,"Garcia, Dr. Margaret",female,30.1,1,1,690483,6.62,F146,Q
14,0,3,"Smith, Mrs. Emma",female,,1,1,633932,13.28,,S
15,1,1,"Thomas, Mr. William",male,17.6,3,1,617423,94.55,,S
16,0,3,"Brown, Dr. James",male,10.9,0,0,33027,14.54,,S
17,0,3,"Wilson, Mr. Edward",male,,4,3,556217,11.96,,S
18,0,3,"Jones, Mr. William",male,38.3,1,1,285922,11.27,,S
19,0,3,"Miller, Mrs. Bertha",female,0.4,0,1,809591,14.91,,S
20,1,2,"Smith, Mrs. Bertha",female,34.1,1,3,510343,23.87,,C
21,1,1,"Taylor, Mrs. Sarah",female,54.7,4,2,132531,86.21,A66,S
22,0,3,"Wilson, Master. Edward",male,24.2,1,2,887355,15.94,,S
23,1,2,"Miller, Dr. Minnie",female,36.6,2,0,291441,21.33,,C
24,0,3,"Martin, Mrs. Anna",female,17.6,4,1,278724,9.38,,S
25,1,3,"Garcia, Ms. Alice",female,24.6,0,2,936912,7.42,,S
26,1,1,"Miller, Rev. Edward",male,15.3,3,1,777438,104.92,,S
27,1,3,"Martin, Dr. John",male,0.4,1,0,860922,15.05,,S
28,1,1,"Williams, Rev. William",male,51.2,3,3,665590,82.71,A193,C
29,1,3,"Garcia, Dr. James",male,14.2,0,1,911378,15.31,,S
30,0,2,"Davis, Ms. Emma",female,24.5,0,2,124117,6.37,D197,S
31,1,3,"Taylor, Ms. Margaret",female,9.4,3,1,603974,10.3,,S
32,0,3,"Johnson, Ms. Sarah",female,,4,2,300441,10.35,,S
33,0,2,"Johnson, Dr. Joseph",male,27.9,4,3,404439,15.28,,S
34,0,3,"Williams, Master. Joseph",male,17.2,3,3,245485,19.26,,C
35,0,3,"Thomas, Rev. George",male,30.5,2,0,212986,10.26,,S
36,0,3,"Taylor, Dr. Joseph",male,31.4,0,2,448101,9.0,,S
37,0,3,"Miller, Rev. Frank",male,,1,3,919106,10.6,,Q
38,0,3,"Moore, Dr. Thomas",male,28.9,3,2,638980,3.14,,S
39,0,2,"Williams, Mr. James",male,48.9,1,0,355858,15.05,,S
40,0,3,"Rodriguez, Ms. Bertha",female,13.2,2,0,439085,14.11,,S
41,1,1,"Thomas, Rev. Frank",male,37.2,0,0,534534,65.66,A57,S
42,0,3,"Rodriguez, Ms. Bertha",female,39.6,2,0,252090,7.45,,S
43,1,3,"Rodriguez, Ms. Anna",female,41.2,1,3,525994,15.31,,S
44,0,2,"Jones, Master. Thomas",male,12.9,0,3,698919,30.12,E198,S
45,1,1,"Jackson, Miss. Elizabeth",female,33.6,0,2,250735,99.44,G15,S
46,1,3,"Garcia, Ms. Margaret",female,42.3,2,2,588625,8.83,,S
47,0,2,"Rodriguez, Rev. Edward",male,36.1,1,3,711284,18.78,,C
48,1,3,"Davis, Rev. Frank",male,,0,1,524120,7.54,F123,S
49,0,1,"Wilson, Mrs. Margaret",female,35.0,2,1,299042,54.88,F8,C
50,1,3,"Taylor, Mr. William",male,21.4,0,2,558874,6.66,,S
51,0,1,"Jones, Mr. Henry",male,42.0,0,1,795302,65.99,D199,S
52,1,1,"Wilson, Mr. Joseph",male,34.5,0,0,229681,53.71,D76,S
53,0,3,"Moore, Mrs. Sarah",female,,2,2,578930,4.75,,S
54,1,3,"Martin, Miss. Elizabeth",female,26.9,4,3,683626,11.31,,S
55,1,1,"Moore, Dr. Emma",female,28.5,1,0,328280,91.11,G85,S
56,1,3,"Thomas, Miss. Alice",female,32.4,1,0,393625,16.75,,S
57,0,3,"Johnson, Rev. William",male,61.0,1,1,889968,8.04,,S
58,0,3,"Johnson, Master. Edward",male,4.7,1,3,369832,11.59,A16,S
59,0,2,"Williams, Mr. George",male,33.9,3,2,602249,238.37,,S
60,0,3,"Jackson, Mr. Joseph",male,16.9,1,2,158236,9.57,,S
61,1,3,"Garcia, Miss. Sarah",female,32.9,3,2,926717,13.24,A183,S
62,1,3,"Moore, Dr. Frank",male,26.6,4,1,600868,13.35,,S
63,0,3,"Brown, Rev. George",male,35.1,4,2,762758,11.7,,S
64,0,3,"Wilson, Ms. Elizabeth",female,40.1,2,0,606637,9.56,B69,S
65,1,1,"Brown, Miss. Ida",female,40.7,3,0,361933,73.66,D29,S
66,0,3,"Rodriguez, Rev. James",male,,4,3,346897,5.47,,S
67,0,3,"Davis, Dr. John",male,,3,2,704196,7.54,,S
68,1,3,"Thomas, Dr. George",male,,1,0,861250,8.21,,Q
69,1,1,"Thomas, Master. William",male,43.3,0,1,136368,51.08,B117,S
70,1,1,"Moore, Rev. Henry",male,53.1,0,0,847002,97.16,,C
71,1,3,"Garcia, Mr. William",male,11.4,4,2,831702,14.9,,S
72,1,1,"Jackson, Mr. William",male,26.4,2,3,117963,57.44,A153,S
73,0,3,"Johnson, Miss. Anna",female,,1,1,117082,11.54,,S
74,1,2,"Rodriguez, Dr. Henry",male,29.8,1,1,698087,13.08,,S
75,0,3,"Garcia, Dr. John",male,29.4,1,0,844375,9.38,,S
76,0,3,"Smith, Mr. George",male,39.0,4,1,399896,7.96,,C
77,0,2,"Taylor, Mr. William",male,8.8,3,1,644228,24.82,,S
78,1,2,"Smith, Ms. Minnie",female,41.7,4,0,999716,15.63,,S
79,1,3,"Taylor, Mr. Edward",male,,1,1,329568,14.22,,S
80,1,3,"Smith, Dr. Bertha",female,23.6,2,3,232773,9.6,B123,S
81,1,2,"Jones, Mrs. Elizabeth",female,12.3,0,3,991701,15.84,,C
82,0,3,"Davis, Mr. Henry",male,32.0,4,1,287718,5.89,,S
83,0,3,"Martin, Dr. Anna",female,,2,3,477866,11.43,A173,S
84,0,3,"Wilson, Dr. James",male,33.8,2,0,447684,13.79,,Q
85,1,1,"Moore, Master. James",male,17.1,2,3,527993,92.25,,Q
86,1,2,"Davis, Mr. Charles",male,30.6,1,1,276027,36.56,,S
87,1,2,"Thomas, Dr. Alice",female,28.6,4,2,682233,30.76,E95,S
88,0,1,"Johnson, Master. John",male,54.4,2,0,695072,75.14,,C
89,1,1,"Thomas, Rev. John",male,35.5,3,3,208552,74.83,,S
90,0,3,"Brown, Mr. John",male,17.7,0,1,486098,12.23,,S
91,1,2,"Moore, Dr. Frank",male,,1,3,66786,14.49,,S
92,1,3,"Davis, Mrs. Bertha",female,41.3,4,0,228669,14.79,,Q
93,1,2,"Wilson, Dr. Edward",male,36.4,0,2,987345,23.09,,Q
94,0,1,"Brown, Rev. John",male,32.6,0,0,511309,91.76,A182,S
95,1,3,"Jackson, Master. James",male,23.2,4,3,626501,13.02,,S
96,0,3,"Williams, Miss. Bertha",female,,1,1,889898,16.83,,S
97,1,2,"Williams, Master. Henry",male,34.7,1,2,716604,21.73,,S
98,1,1,"Smith, Dr. Thomas",male,13.4,2,3,794470,80.87,E169,C
99,1,1,"Wilson, Mr. Henry",male,48.5,0,2,714930,128.66,,S
100,1,3,"Garcia, Ms. Sarah",female,27.5,0,0,503840,14.06,,S
101,1,3,"Jones, Miss. Bertha",female,54.6,0,0,636246,9.32,,S
102,1,2,"Johnson, Dr. Margaret",female,16.8,0,0,295607,20.54,,S
103,0,1,"Jackson, Rev. James",male,,0,3,891510,89.96,,C
104,0,3,"Jones, Dr. Bertha",female,,3,3,188087,11.83,,S
105,0,3,"Garcia, Dr. Sarah",female,40.3,1,1,885258,5.51,,C
106,1,3,"Jackson, Ms. Mary",female,17.6,0,3,879598,4.83,,S
107,0,3,"Davis, Rev. Henry",male,,0,0,150855,7.24,,S
108,0,1,"Thomas, Dr. Edward",male,38.0,2,2,713064,55.77,G29,S
109,1,2,"Miller, Dr. Charles",male,33.4,4,1,989770,15.88,,S
110,1,2,"Moore, Dr. Sarah",female,21.6,1,0,576441,262.93,,S
111,0,3,"Martin, Master. Charles",male,,0,1,346940,9.88,,S
112,0,3,"Thomas, Mr. Joseph",male,6.8,1,1,880639,11.22,,S
113,0,3,"Thomas, Dr. Henry",male,27.6,2,1,517430,6.0,,C
114,1,3,"Smith, Rev. Frank",male,31.4,0,0,130473,8.8,,S
115,0,3,"Wilson, Master. William",male,23.3,4,1,256781,12.66,,S
116,1,3,"Johnson, Mrs. Anna",female,,3,0,685663,12.69,,C
117,0,1,"Brown, Ms. Minnie",female,51.8,1,3,460812,62.85,,S
118,1,1,"Wilson, Ms. Alice",female,43.1,4,1,224544,88.96,,C
119,0,2,"Thomas, Rev. Edward",male,21.3,1,0,801042,36.28,D55,S
120,0,3,"Taylor, Dr. Ida",female,22.6,0,2,129371,10.44,,S
121,1,1,"Martin, Mr. Thomas",male,17.0,4,3,226875,63.77,G48,S
122,0,3,"Davis, Ms. Elizabeth",female,13.7,4,1,470951,9.86,,C
123,0,3,"Martin, Mr. William",male,19.5,1,3,49129,10.84,,S
124,0,3,"Moore, Mr. William",male,,2,2,393518,9.94,,S
125,1,1,"Jackson, Master. Edward",male,29.0,0,2,910851,332.59,G88,Q
126,1,2,"Brown, Rev. James",male,37.7,3,1,941760,10.14,,S
127,1,1,"Miller, Master. Thomas",male,30.5,3,0,873234,55.83,G78,C
128,0,3,"Williams, Dr. James",male,29.0,3,1,330739,9.95,,S
129,0,3,"Brown, Mr. Charles",male,,2,3,74221,9.89,,Q
130,0,3,"Davis, Rev. Henry",male,36.5,3,3,816752,8.42,,Q
131,0,2,"Jones, Dr. Thomas",male,23.6,2,3,379583,19.23,,Q
132,0,2,"Jones, Ms. Anna",female,11.1,4,3,751337,20.94,,S
133,1,2,"Garcia, Dr. Charles",male,13.4,0,1,127975,26.88,F103,C
134,0,3,"Moore, Rev. John",male,19.6,2,1,671243,10.14,,C
135,0,3,"Wilson, Dr. Charles",male,11.0,2,3,590523,11.97,,S
136,1,1,"Smith, Rev. Joseph",male,43.7,2,2,921195,68.24,E136,S
137,1,3,"Garcia, Dr. Alice",female,20.4,0,1,110910,12.6,,Q
138,1,1,"Martin, Mr. George",male,,1,1,413844,95.27,,S
139,1,3,"Miller, Dr. Alice",female,5.1,4,3,990041,13.68,,S
140,1,1,"Martin, Mr. John",male,40.9,0,0,395774,105.23,G151,S
141,1,2,"Williams, Mr. Joseph",male,16.5,3,0,661461,24.72,,S
142,0,3,"Thomas, Rev. George",male,20.1,3,2,169337,10.14,,C
143,1,1,"Rodriguez, Mrs. Emma",female,40.0,2,0,731120,91.42,,S
144,0,2,"Thomas, Master. John",male,2.1,0,0,283004,28.13,,S
145,0,2,"Rodriguez, Rev. James",male,32.8,0,3,576498,15.82,A46,C
146,1,2,"Wilson, Mr. Henry",male,52.8,1,1,880977,15.99,,S
147,1,3,"Wilson, Master. John",male,,0,2,664439,11.17,,S
148,0,3,"Martin, Mr. Henry",male,29.1,0,1,479637,12.03,F26,S
149,0,3,"Moore, Master. Henry",male,38.3,0,0,198152,7.47,,C
150,0,2,"Williams, Rev. Charles",male,,0,0,347939,19.96,,Q
151,0,3,"Taylor, Mrs. Mary",female,19.0,4,3,850782,10.15,,S
152,0,2,"Rodriguez, Miss. Alice",female,2.7,3,0,223950,4.61,,S
153,0,2,"Rodriguez, Rev. Joseph",male,37.7,0,2,659738,18.92,,S
154,1,1,"Miller, Rev. Charles",male,36.4,3,1,490110,79.56,G192,S
155,0,3,"Smith, Rev. Thomas",male,13.8,0,1,327666,9.91,,S
156,1,3,"Smith, Miss. Minnie",female,27.5,2,3,368516,15.7,,S
157,0,3,"Taylor, Master. Henry",male,,0,2,293824,6.03,,S
